user_id,course_id,rating
4333,1140532,1.0
1935,112602,3.0
3219,823860,3.0
3612,980114,5.0
3175,825752,3.0
1017,16714,3.0
2728,570996,4.0
4759,504036,2.0
3423,953442,1.0
455,188584,5.0
4081,560218,4.0
3337,1047750,3.0
4179,429662,3.0
3074,573064,2.0
1027,741898,3.0
2747,1094930,3.0
4444,204014,3.0
4607,895030,3.0
3323,725872,3.0
4107,1088656,2.0
2212,1264512,5.0
1259,421054,5.0
1242,1210062,3.0
2391,1124244,4.0
1590,1084642,1.0
4784,888716,4.0
3519,893056,1.0
1927,838320,1.0
1214,471440,3.0
135,949504,2.0
1695,583752,4.0
1511,385686,5.0
3850,690966,5.0
1454,383852,1.0
2439,778112,4.0
1364,502588,4.0
62,340844,1.0
1215,1058262,5.0
3513,1223240,5.0
3027,1229488,3.0
4164,672086,4.0
3519,24877,5.0
3385,980408,1.0
1569,537888,1.0
3751,1214702,1.0
4491,513846,2.0
4737,501412,3.0
38,41961,2.0
1483,882128,5.0
2752,1002272,4.0
1370,1185390,5.0
3661,1203040,2.0
3017,640496,5.0
1271,976284,2.0
1338,1196728,5.0
4234,796450,4.0
50,99986,3.0
3688,854696,2.0
1825,525114,3.0
1706,914164,2.0
150,606756,4.0
2863,768612,2.0
664,1052518,5.0
1103,8324,5.0
2833,481696,2.0
4731,647564,3.0
4582,726290,5.0
2876,1045726,3.0
815,987682,2.0
759,282044,2.0
3697,792216,5.0
4440,41356,3.0
1006,510784,3.0
334,515188,2.0
627,73068,1.0
4828,846412,2.0
3278,654422,2.0
93,993134,2.0
2471,1128984,2.0
363,742712,1.0
1509,149602,3.0
391,494330,2.0
682,74028,2.0
698,579642,4.0
3072,652376,4.0
435,742106,3.0
2535,1094930,4.0
4234,383414,3.0
4175,312834,4.0
858,721202,2.0
597,1119610,1.0
1310,92760,1.0
3331,576054,4.0
3974,165122,5.0
2287,579338,4.0
3687,1087244,1.0
3345,179500,1.0
270,552606,5.0
1656,188584,5.0
3119,165964,2.0
2664,1065250,3.0
3299,19332,2.0
4773,177614,3.0
2680,744034,2.0
2801,809216,2.0
4859,106358,4.0
1423,953432,5.0
3296,944156,2.0
2948,931626,1.0
2685,358998,1.0
3939,195576,1.0
3654,18448,2.0
3751,473548,5.0
3747,651352,5.0
578,449788,2.0
4774,821788,5.0
4346,93484,4.0
1345,256094,5.0
802,938680,2.0
3718,625920,2.0
4274,537884,1.0
241,547190,4.0
2222,189160,5.0
1720,407658,1.0
144,298044,3.0
1016,709460,4.0
2146,123566,1.0
3302,915964,5.0
2599,313484,5.0
934,964732,2.0
4638,769390,2.0
1421,566678,3.0
4119,484670,4.0
3861,1240148,2.0
2157,8324,2.0
3755,496430,4.0
3269,1160196,4.0
3451,931626,3.0
48,553832,1.0
4255,850294,5.0
1719,753154,1.0
910,69414,2.0
1008,1146368,4.0
4570,909244,3.0
2899,581498,3.0
1386,424864,5.0
3155,324224,5.0
801,554570,1.0
3927,624578,4.0
2334,1101806,4.0
2284,50587,5.0
2869,1105794,5.0
1930,657130,2.0
1348,471446,4.0
4140,304414,4.0
1208,635570,4.0
2484,1269590,1.0
367,516062,3.0
979,826202,4.0
3368,262370,3.0
1639,977470,1.0
3219,908664,4.0
854,409818,2.0
947,756914,1.0
328,344224,5.0
897,904076,2.0
2532,548044,2.0
2580,501960,5.0
1022,1200530,4.0
2029,1131780,5.0
3323,975982,3.0
4334,288256,1.0
3334,73044,2.0
2676,573064,4.0
1639,519776,5.0
926,1144726,5.0
4694,666910,4.0
2006,922092,3.0
3700,441996,3.0
1013,611688,2.0
118,399938,4.0
2161,955138,1.0
1933,221872,3.0
2983,1260674,2.0
3908,1036456,5.0
3184,366720,1.0
4835,701636,4.0
3571,1009452,1.0
3886,380206,5.0
2185,63712,2.0
3229,791436,5.0
1773,431562,5.0
3819,569436,4.0
104,308690,4.0
3352,812588,1.0
3728,1090408,4.0
2456,645202,3.0
1556,472526,5.0
818,388104,3.0
3633,431562,1.0
4373,1114722,2.0
1101,995384,1.0
4989,544944,5.0
4755,266682,2.0
4368,543346,2.0
2763,1036456,5.0
